,Country,Years,Gold,Silver,Bronze,Total
0,United States,1896,11,7,2,20
1,Greece,1896,10,18,19,47
2,Germany,1896,6,5,2,13
3,France,1896,5,4,2,11
4,Great Britain,1896,2,3,2,7
5,Hungary,1896,2,1,3,6
6,Austria,1896,2,1,2,5
7,Australia,1896,2,0,0,2
8,Denmark,1896,1,2,3,6
9,Switzerland,1896,1,2,0,3
10,Mixed team,1896,1,0,1,2
11,France,1900,27,39,37,103
12,United States,1900,19,14,15,48
13,Great Britain,1900,15,7,9,31
14,Mixed team,1900,8,5,6,19
15,Belgium,1900,6,7,4,17
16,Switzerland,1900,6,2,1,9
17,Germany,1900,4,3,2,9
18,Italy,1900,3,2,0,5
19,Australia,1900,2,0,3,5
20,Denmark,1900,1,3,2,6
21,Hungary,1900,1,2,2,5
22,Cuba,1900,1,1,0,2
23,Canada,1900,1,0,1,2
24,Spain,1900,1,0,0,1
25,Luxembourg,1900,1,0,0,1
26,Austria,1900,0,3,3,6
27,Norway,1900,0,2,3,5
28,Netherlands,1900,0,2,3,5
29,India,1900,0,2,0,2
30,Bohemia,1900,0,1,1,2
31,Sweden,1900,0,0,1,1
32,United States,1904,76,78,77,231
33,Germany,1904,4,5,6,15
34,Canada,1904,4,1,1,6
35,Cuba,1904,3,0,0,3
36,Hungary,1904,2,1,1,4
37,Mixed team,1904,2,1,1,4
38,Norway,1904,2,0,0,2
39,Austria,1904,1,1,1,3
40,Great Britain,1904,1,1,0,2
41,Switzerland,1904,1,0,2,3
42,Greece,1904,1,0,1,2
43,Australia,1904,0,3,1,4
44,France,1904,0,1,0,1
45,Great Britain,1908,56,51,39,146
46,United States,1908,23,12,12,47
47,Sweden,1908,8,6,11,25
48,France,1908,5,5,9,19
49,Germany,1908,3,5,5,13
50,Hungary,1908,3,4,2,9
51,Canada,1908,3,3,10,16
52,Norway,1908,2,3,3,8
53,Italy,1908,2,2,0,4
54,Belgium,1908,1,5,2,8
55,Australasia,1908,1,2,2,5
56,Russian Empire,1908,1,2,0,3
57,Finland,1908,1,1,3,5
58,South Africa,1908,1,1,0,2
59,Greece,1908,0,3,1,4
60,Denmark,1908,0,2,3,5
61,Bohemia,1908,0,0,2,2
62,Netherlands,1908,0,0,2,2
63,Austria,1908,0,0,1,1
64,United States,1912,26,19,19,64
65,Sweden,1912,23,25,17,65
66,Great Britain,1912,10,15,16,41
67,Finland,1912,9,8,9,26
68,France,1912,7,4,3,14
69,Germany,1912,5,13,7,25
70,South Africa,1912,4,2,0,6
71,Norway,1912,3,2,5,10
72,Canada,1912,3,2,3,8
73,Hungary,1912,3,2,3,8
74,Italy,1912,3,1,2,6
75,Australasia,1912,2,2,3,7
76,Belgium,1912,2,1,3,6
77,Denmark,1912,1,6,5,12
78,Greece,1912,1,0,1,2
79,Russian Empire,1912,0,2,3,5
80,Austria,1912,0,2,2,4
81,Netherlands,1912,0,0,3,3
82,United States,1920,41,27,27,95
83,Sweden,1920,19,20,25,64
84,Finland,1920,15,10,9,34
85,Great Britain,1920,14,15,13,42
86,Belgium,1920,14,11,11,36
87,Norway,1920,13,9,9,31
88,Italy,1920,13,5,5,23
89,France,1920,9,19,13,41
90,Netherlands,1920,4,2,5,11
91,Denmark,1920,3,9,1,13
92,South Africa,1920,3,4,3,10
93,Canada,1920,3,3,3,9
94,Switzerland,1920,2,2,7,11
95,Estonia,1920,1,2,0,3
96,Brazil,1920,1,1,1,3
97,Australia,1920,0,2,1,3
98,Japan,1920,0,2,0,2
99,Spain,1920,0,2,0,2
100,Greece,1920,0,1,0,1
101,Luxembourg,1920,0,1,0,1
102,Czechoslovakia,1920,0,0,2,2
103,New Zealand,1920,0,0,1,1
104,United States,1924,45,27,27,99
105,Finland,1924,14,13,10,37
106,France,1924,13,15,10,38
107,Great Britain,1924,9,13,12,34
108,Italy,1924,8,3,5,16
109,Switzerland,1924,7,8,10,25
110,Norway,1924,5,2,3,10
111,Sweden,1924,4,13,12,29
112,Netherlands,1924,4,1,5,10
113,Belgium,1924,3,7,3,13
114,Australia,1924,3,1,2,6
115,Denmark,1924,2,5,2,9
116,Hungary,1924,2,3,4,9
117,Yugoslavia,1924,2,0,0,2
118,Czechoslovakia,1924,1,4,5,10
119,Argentina,1924,1,3,2,6
120,Estonia,1924,1,1,4,6
121,South Africa,1924,1,1,1,3
122,Uruguay,1924,1,0,0,1
123,Austria,1924,0,3,1,4
124,Canada,1924,0,3,1,4
125,Poland,1924,0,1,1,2
126,Haiti,1924,0,0,1,1
127,Japan,1924,0,0,1,1
128,New Zealand,1924,0,0,1,1
129,Portugal,1924,0,0,1,1
130,Romania,1924,0,0,1,1
131,United States,1928,22,18,16,56
132,Germany,1928,10,7,14,31
133,Finland,1928,8,8,9,25
134,Sweden,1928,7,6,12,25
135,Italy,1928,7,5,7,19
136,Switzerland,1928,7,4,4,15
137,France,1928,6,10,5,21
138,Netherlands,1928,6,9,4,19
139,Hungary,1928,4,5,0,9
140,Canada,1928,4,4,7,15
141,Great Britain,1928,3,10,7,20
142,Argentina,1928,3,3,1,7
143,Denmark,1928,3,1,2,6
144,Czechoslovakia,1928,2,5,2,9
145,Japan,1928,2,2,1,5
146,Estonia,1928,2,1,2,5
147,Egypt,1928,2,1,1,4
148,Austria,1928,2,0,1,3
149,Australia,1928,1,2,1,4
150,Norway,1928,1,2,1,4
151,Poland,1928,1,1,3,5
152,Yugoslavia,1928,1,1,3,5
153,South Africa,1928,1,0,2,3
154,India,1928,1,0,0,1
155,Ireland,1928,1,0,0,1
156,New Zealand,1928,1,0,0,1
157,Spain,1928,1,0,0,1
158,Uruguay,1928,1,0,0,1
159,Belgium,1928,0,1,2,3
160,Chile,1928,0,1,0,1
161,Haiti,1928,0,1,0,1
162,Philippines,1928,0,0,1,1
163,Portugal,1928,0,0,1,1
164,United States,1932,44,36,30,110
165,Italy,1932,12,12,12,36
166,France,1932,11,5,4,20
167,Sweden,1932,10,5,9,24
168,Japan,1932,7,7,4,18
169,Hungary,1932,6,5,5,16
170,Germany,1932,5,12,7,24
171,Finland,1932,5,8,12,25
172,Great Britain,1932,5,7,5,17
173,Poland,1932,3,2,4,9
174,Australia,1932,3,1,1,5
175,Argentina,1932,3,1,0,4
176,Canada,1932,2,5,9,16
177,Netherlands,1932,2,5,1,8
178,South Africa,1932,2,0,3,5
179,Ireland,1932,2,0,0,2
180,Czechoslovakia,1932,1,3,2,6
181,Austria,1932,1,1,3,5
182,India,1932,1,0,0,1
183,Denmark,1932,0,5,3,8
184,Mexico,1932,0,2,0,2
185,Latvia,1932,0,1,0,1
186,New Zealand,1932,0,1,0,1
187,Switzerland,1932,0,1,0,1
188,Philippines,1932,0,0,3,3
189,Belgium,1932,0,0,1,1
190,Spain,1932,0,0,1,1
191,Uruguay,1932,0,0,1,1
192,Germany,1936,38,31,32,101
193,United States,1936,24,21,12,57
194,Hungary,1936,10,1,5,16
195,Italy,1936,9,13,5,27
196,Finland,1936,8,6,6,20
197,France,1936,7,6,6,19
198,Sweden,1936,6,5,10,21
199,Japan,1936,6,4,10,20
200,Netherlands,1936,6,4,7,17
201,Austria,1936,5,7,5,17
202,Switzerland,1936,4,9,5,18
203,Great Britain,1936,4,7,3,14
204,Czechoslovakia,1936,3,5,1,9
205,Argentina,1936,2,2,3,7
206,Estonia,1936,2,2,3,7
207,Egypt,1936,2,1,2,5
208,Canada,1936,1,3,5,9
209,Norway,1936,1,3,2,6
210,Turkey,1936,1,0,1,2
211,India,1936,1,0,0,1
212,New Zealand,1936,1,0,0,1
213,Poland,1936,0,4,5,9
214,Denmark,1936,0,2,3,5
215,Latvia,1936,0,1,1,2
216,Romania,1936,0,1,0,1
217,South Africa,1936,0,1,0,1
218,Yugoslavia,1936,0,1,0,1
219,Belgium,1936,0,0,3,3
220,Mexico,1936,0,0,3,3
221,Australia,1936,0,0,1,1
222,Philippines,1936,0,0,1,1
223,Portugal,1936,0,0,1,1
224,United States,1948,38,27,19,84
225,Sweden,1948,16,11,17,44
226,France,1948,10,6,13,29
227,Hungary,1948,10,5,12,27
228,Italy,1948,8,11,8,27
229,Finland,1948,8,7,5,20
230,Turkey,1948,6,4,2,12
231,Czechoslovakia,1948,6,2,3,11
232,Switzerland,1948,5,10,5,20
233,Denmark,1948,5,7,8,20
234,Netherlands,1948,5,2,9,16
235,Great Britain,1948,3,14,6,23
236,Argentina,1948,3,3,1,7
237,Australia,1948,2,6,5,13
238,Belgium,1948,2,2,3,7
239,Egypt,1948,2,2,1,5
240,Mexico,1948,2,1,2,5
241,South Africa,1948,2,1,1,4
242,Norway,1948,1,3,3,7
243,Jamaica,1948,1,2,0,3
244,Austria,1948,1,0,3,4
245,India,1948,1,0,0,1
246,Peru,1948,1,0,0,1
247,Yugoslavia,1948,0,2,0,2
248,Canada,1948,0,1,2,3
249,Portugal,1948,0,1,1,2
250,Uruguay,1948,0,1,1,2
251,Ceylon,1948,0,1,0,1
252,Cuba,1948,0,1,0,1
253,Spain,1948,0,1,0,1
254,Trinidad and Tobago,1948,0,1,0,1
255,Panama,1948,0,0,2,2
256,South Korea,1948,0,0,2,2
257,Brazil,1948,0,0,1,1
258,Iran,1948,0,0,1,1
259,Poland,1948,0,0,1,1
260,Puerto Rico,1948,0,0,1,1
261,United States,1952,40,19,17,76
262,Soviet Union,1952,22,30,19,71
263,Hungary,1952,16,10,16,42
264,Sweden,1952,12,13,10,35
265,Italy,1952,8,9,4,21
266,Czechoslovakia,1952,7,3,3,13
267,France,1952,6,6,6,18
268,Finland,1952,6,3,13,22
269,Australia,1952,6,2,3,11
270,Norway,1952,3,2,0,5
271,Switzerland,1952,2,6,6,14
272,South Africa,1952,2,4,4,10
273,Jamaica,1952,2,3,0,5
274,Belgium,1952,2,2,0,4
275,Denmark,1952,2,1,3,6
276,Turkey,1952,2,0,1,3
277,Japan,1952,1,6,2,9
278,Great Britain,1952,1,2,8,11
279,Argentina,1952,1,2,2,5
280,Poland,1952,1,2,1,4
281,Canada,1952,1,2,0,3
282,Yugoslavia,1952,1,2,0,3
283,Romania,1952,1,1,2,4
284,Brazil,1952,1,0,2,3
285,New Zealand,1952,1,0,2,3
286,India,1952,1,0,1,2
287,Luxembourg,1952,1,0,0,1
288,Germany,1952,0,7,17,24
289,Netherlands,1952,0,5,0,5
290,Iran,1952,0,3,4,7
291,Chile,1952,0,2,0,2
292,Austria,1952,0,1,1,2
293,Lebanon,1952,0,1,1,2
294,Ireland,1952,0,1,0,1
295,Mexico,1952,0,1,0,1
296,Spain,1952,0,1,0,1
297,South Korea,1952,0,0,2,2
298,Trinidad and Tobago,1952,0,0,2,2
299,Uruguay,1952,0,0,2,2
300,Bulgaria,1952,0,0,1,1
301,Egypt,1952,0,0,1,1
302,Portugal,1952,0,0,1,1
303,Venezuela,1952,0,0,1,1
304,Soviet Union,1956,37,29,32,98
305,United States,1956,32,25,17,74
306,Australia,1956,13,8,14,35
307,Hungary,1956,9,10,7,26
308,Italy,1956,8,8,9,25
309,Sweden,1956,8,5,6,19
310,United Team of Germany,1956,6,13,7,26
311,Great Britain,1956,6,7,11,24
312,Romania,1956,5,3,5,13
313,Japan,1956,4,10,5,19
314,France,1956,4,4,6,14
315,Turkey,1956,3,2,2,7
316,Finland,1956,3,1,11,15
317,Iran,1956,2,2,1,5
318,Canada,1956,2,1,3,6
319,New Zealand,1956,2,0,0,2
320,Poland,1956,1,4,4,9
321,Czechoslovakia,1956,1,4,1,6
322,Bulgaria,1956,1,3,1,5
323,Denmark,1956,1,2,1,4
324,Ireland,1956,1,1,3,5
325,Norway,1956,1,0,2,3
326,Mexico,1956,1,0,1,2
327,Brazil,1956,1,0,0,1
328,India,1956,1,0,0,1
329,Yugoslavia,1956,0,3,0,3
330,Chile,1956,0,2,2,4
331,Belgium,1956,0,2,0,2
332,Argentina,1956,0,1,1,2
333,South Korea,1956,0,1,1,2
334,Iceland,1956,0,1,0,1
335,Pakistan,1956,0,1,0,1
336,South Africa,1956,0,0,4,4
337,Austria,1956,0,0,2,2
338,Bahamas,1956,0,0,1,1
339,Greece,1956,0,0,1,1
340,Switzerland,1956,0,0,1,1
341,Uruguay,1956,0,0,1,1
342,Soviet Union,1960,43,29,31,103
343,United States,1960,34,21,16,71
344,Italy,1960,13,10,13,36
345,United Team of Germany,1960,12,19,11,42
346,Australia,1960,8,8,6,22
347,Turkey,1960,7,2,0,9
348,Hungary,1960,6,8,7,21
349,Japan,1960,4,7,7,18
350,Poland,1960,4,6,11,21
351,Czechoslovakia,1960,3,2,3,8
352,Romania,1960,3,1,6,10
353,Great Britain,1960,2,6,12,20
354,Denmark,1960,2,3,1,6
355,New Zealand,1960,2,0,1,3
356,Bulgaria,1960,1,3,3,7
357,Sweden,1960,1,2,3,6
358,Finland,1960,1,1,3,5
359,Austria,1960,1,1,0,2
360,Yugoslavia,1960,1,1,0,2
361,Pakistan,1960,1,0,1,2
362,Ethiopia,1960,1,0,0,1
363,Greece,1960,1,0,0,1
364,Norway,1960,1,0,0,1
365,Switzerland,1960,0,3,3,6
366,France,1960,0,2,3,5
367,Belgium,1960,0,2,2,4
368,Iran,1960,0,1,3,4
369,Netherlands,1960,0,1,2,3
370,South Africa,1960,0,1,2,3
371,Argentina,1960,0,1,1,2
372,Egypt,1960,0,1,1,2
373,Canada,1960,0,1,0,1
374,Formosa,1960,0,1,0,1
375,Ghana,1960,0,1,0,1
376,India,1960,0,1,0,1
377,Morocco,1960,0,1,0,1
378,Portugal,1960,0,1,0,1
379,Singapore,1960,0,1,0,1
380,Brazil,1960,0,0,2,2
381,British West Indies,1960,0,0,2,2
382,Iraq,1960,0,0,1,1
383,Mexico,1960,0,0,1,1
384,Spain,1960,0,0,1,1
385,Venezuela,1960,0,0,1,1
386,United States,1964,36,26,28,90
387,Soviet Union,1964,30,31,35,96
388,Japan,1964,16,5,8,29
389,United Team of Germany,1964,10,22,18,50
390,Italy,1964,10,10,7,27
391,Hungary,1964,10,7,5,22
392,Poland,1964,7,6,10,23
393,Australia,1964,6,2,10,18
394,Czechoslovakia,1964,5,6,3,14
395,Great Britain,1964,4,12,2,18
396,Bulgaria,1964,3,5,2,10
397,Finland,1964,3,0,2,5
398,New Zealand,1964,3,0,2,5
399,Romania,1964,2,4,6,12
400,Netherlands,1964,2,4,4,10
401,Turkey,1964,2,3,1,6
402,Sweden,1964,2,2,4,8
403,Denmark,1964,2,1,3,6
404,Yugoslavia,1964,2,1,2,5
405,Belgium,1964,2,0,1,3
406,France,1964,1,8,6,15
407,Canada,1964,1,2,1,4
408,Switzerland,1964,1,2,1,4
409,Bahamas,1964,1,0,0,1
410,Ethiopia,1964,1,0,0,1
411,India,1964,1,0,0,1
412,South Korea,1964,0,2,1,3
413,Trinidad and Tobago,1964,0,1,2,3
414,Tunisia,1964,0,1,1,2
415,Argentina,1964,0,1,0,1
416,Cuba,1964,0,1,0,1
417,Pakistan,1964,0,1,0,1
418,Philippines,1964,0,1,0,1
419,Iran,1964,0,0,2,2
420,Brazil,1964,0,0,1,1
421,Ghana,1964,0,0,1,1
422,Ireland,1964,0,0,1,1
423,Kenya,1964,0,0,1,1
424,Mexico,1964,0,0,1,1
425,Nigeria,1964,0,0,1,1
426,Uruguay,1964,0,0,1,1
427,United States,1968,45,28,34,107
428,Soviet Union,1968,29,32,30,91
429,Japan,1968,11,7,7,25
430,Hungary,1968,10,10,12,32
431,East Germany,1968,9,9,7,25
432,France,1968,7,3,5,15
433,Czechoslovakia,1968,7,2,4,13
434,West Germany,1968,5,11,10,26
435,Australia,1968,5,7,5,17
436,Great Britain,1968,5,5,3,13
437,Poland,1968,5,2,11,18
438,Romania,1968,4,6,5,15
439,Italy,1968,3,4,9,16
440,Kenya,1968,3,4,2,9
441,Mexico,1968,3,3,3,9
442,Yugoslavia,1968,3,3,2,8
443,Netherlands,1968,3,3,1,7
444,Bulgaria,1968,2,4,3,9
445,Iran,1968,2,1,2,5
446,Sweden,1968,2,1,1,4
447,Turkey,1968,2,0,0,2
448,Denmark,1968,1,4,3,8
449,Canada,1968,1,3,1,5
450,Finland,1968,1,2,1,4
451,Ethiopia,1968,1,1,0,2
452,Norway,1968,1,1,0,2
453,New Zealand,1968,1,0,2,3
454,Tunisia,1968,1,0,1,2
455,Pakistan,1968,1,0,0,1
456,Venezuela,1968,1,0,0,1
457,Cuba,1968,0,4,0,4
458,Austria,1968,0,2,2,4
459,Switzerland,1968,0,1,4,5
460,Mongolia,1968,0,1,3,4
461,Brazil,1968,0,1,2,3
462,Belgium,1968,0,1,1,2
463,South Korea,1968,0,1,1,2
464,Uganda,1968,0,1,1,2
465,Cameroon,1968,0,1,0,1
466,Jamaica,1968,0,1,0,1
467,Argentina,1968,0,0,2,2
468,Greece,1968,0,0,1,1
469,India,1968,0,0,1,1
470,Taiwan,1968,0,0,1,1
471,Soviet Union,1972,50,27,22,99
472,United States,1972,33,31,30,94
473,East Germany,1972,20,23,23,66
474,West Germany,1972,13,11,16,40
475,Japan,1972,13,8,8,29
476,Australia,1972,8,7,2,17
477,Poland,1972,7,5,9,21
478,Hungary,1972,6,13,16,35
479,Bulgaria,1972,6,10,5,21
480,Italy,1972,5,3,10,18
481,Sweden,1972,4,6,6,16
482,Great Britain,1972,4,5,9,18
